by, 0.35215, -0.35603, 0.25708, -0.10611, -0.20718, 0.63596, -1.0129, -0.45964, -0.48749, -0.080555, 0.43769, 0.46046, -0.80943, -0.23336, 0.46623, -0.10866, -0.1221, -0.63544, -0.73486, -0.24848, 0.4317, 0.092264, 0.52033, -0.46784, 0.016798, -1.5124, -0.19986, -0.43351, -0.59247, 0.18088, 3.5194, -0.7024, 0.23613, -0.68514, -0.37009, -0.080451, 0.10635, -0.085495, -0.18451, 0.29771, 0.18123, 0.53627, -0.1001, -0.55165, 0.098833, -0.12942, -0.82628, -0.4329, -0.10301, 0.0
this, 0.53074, 0.40117, -0.40785, 0.15444, 0.47782, 0.20754, -0.26951, -0.34023, -0.10879, 0.10563, -0.10289, 0.10849, -0.49681, -0.25128, 0.84025, 0.38949, 0.32284, -0.22797, -0.44342, -0.31649, -0.12406, -0.2817, 0.19467, 0.055513, 0.56705, -1.7419, -0.91145, 0.27036, 0.41927, 0.020279, 4.0405, -0.24943, -0.20416, -0.62762, -0.054783, -0.26883, 0.18444, 0.18204, -0.23536, -0.16155, -0.27655, 0.035506, -0.38211, -7.5134E-4, -0.24822, 0.28164, 0.12819, 0.28762, 0.1444, 0.0
with, 0.25616, 0.43694, -0.11889, 0.20345, 0.41959, 0.85863, -0.60344, -0.31835, -0.6718, 0.003984, -0.075159, 0.11043, -0.73534, 0.27436, 0.054015, -0.23828, -0.13767, 0.011573, -0.46623, -0.55233, 0.083317, 0.55938, 0.51903, -0.27065, -0.28211, -1.3918, 0.17498, 0.26586, 0.061449, -0.273, 3.9032, 0.38169, -0.056009, -0.004425, 0.24033, 0.30675, -0.12638, 0.33436, 0.075485, -0.036218, 0.13691, 0.37762, -0.12159, -0.13808, 0.19505, 0.22793, -0.17304, -0.07573, -0.25868, 0.0
i, 0.11891, 0.15255, -0.082073, -0.74144, 0.75917, -0.48328, -0.31009, 0.51476, -0.98708, 6.1757E-4, -0.15043, 0.8377, -1.0797, -0.5146, 1.3188, 0.62007, 0.13779, 0.47108, -0.072874, -0.72675, -0.74116, 0.75263, 0.8818, 0.29561, 1.3548, -2.5701, -1.3523, 0.4588, 1.0068, -1.1856, 3.4737, 0.77898, -0.72929, 0.25102, -0.26156, -0.34684, 0.55841, 0.75098, 0.4983, -0.26823, -0.0027443, -0.018298, -0.28096, 0.55318, 0.037706, 0.18555, -0.15025, -0.57512, -0.26671, 0.0
you, -0.0010919, 0.33324, 0.35743, -0.54041, 0.82032, -0.49391, -0.32588, 0.0019972, -0.23829, 0.35554, -0.60655, 0.98932, -0.21786, 0.11236, 1.1494, 0.73284, 0.51182, 0.29287, 0.28388, -1.359, -0.37951, 0.50943, 0.7071, 0.62941, 1.0534, -2.1756, -1.3204, 0.40001, 1.5741, -1.66, 3.7721, 0.86949, -0.80439, 0.1839, -0.34332, 0.010714, 0.23969, 0.066748, 0.70117, -0.73702, 0.20877, 0.11564, -0.1519, 0.85908, 0.2262, 0.16519, 0.36309, -0.45697, -0.048969, 0.0
it, 0.61183, -0.22072, -0.10898, -0.052967, 0.50804, 0.34684, -0.33558, -0.19152, -0.035865, 0.1051, 0.07935, 0.2449, -0.4373, -0.33344, 0.57479, 0.69052, 0.29713, 0.090669, -0.54992, -0.46176, 0.10113, -0.02024, 0.28479, 0.043512, 0.45735, -2.0466, -0.58084, 0.61797, 0.6518, -0.58263, 4.0786, -0.2542, -0.14649, -0.34321, -0.25437, -0.44677, 0.12657, 0.28134, 0.13331, -0.36974, 0.050059, -0.10058, -0.017907, 0.11142, -0.71798, 0.491, -0.099974, -0.043688, -0.097922, 0.0
not, 0.55025, -0.24942, -9.386E-4, -0.264, 0.5932, 0.2795, -0.25666, 0.093076, -0.36288, 0.090776, 0.28409, 0.71337, -0.4751, -0.24413, 0.88424, 0.89109, 0.43009, -0.2733, 0.11276, -0.81665, -0.41272, 0.17754, 0.61942, 0.10466, 0.33327, -2.3125, -0.52371, -0.021898, 0.53801, -0.50615, 3.8683, 0.16642, -0.71981, -0.74728, 0.11631, -0.37585, 0.5552, 0.12675, -0.22642, -0.10175, -0.35455, 0.12348, 0.16532, 0.7042, -0.080231, -0.068406, -0.67626, 0.33763, 0.050139, 0.0
or, 0.26358, 0.18747, 0.044394, -0.19119, 0.45455, 0.66445, 0.25855, -0.64886, -0.67653, 0.045254, 0.071081, 0.3645, 0.74863, -0.17489, 0.28723, 0.43277, -0.39184, -0.048568, -0.21373, -0.72992, 0.13902, -0.23308, 0.70256, 0.2176, -0.20647, -1.415, -0.32587, -0.075019, 0.88536, -0.56679, 4.0296, 0.019803, -0.57259, -0.060878, 0.14667, 0.16532, 0.21188, -0.38358, 0.42748, -0.096921, 0.19285, 0.021779, 0.58562, 0.97633, 0.20384, -0.2162, -0.021486, -0.42936, 0.52879, 0.0
be, 0.91102, -0.22872, 0.2077, -0.20237, 0.50697, -0.057893, -0.41729, -0.075341, -0.30454, -0.003286, 0.44481, 0.41818, -0.33409, 0.032917, 0.98872, 0.91984, 0.40521, 0.01925, -0.1052, -0.79865, -0.36403, -0.087995, 0.72182, 0.11114, 0.2153, -1.9411, -0.26376, 0.4455, 0.27586, -0.21104, 4.0212, -0.061943, -0.32134, -0.81922, 0.2108, -0.20414, 0.72625, 0.47517, -0.39853, -0.39168, -0.34581, 0.025928, 0.13072, 0.73562, -0.15199, -0.18439, -0.67128, 0.16692, -0.050063, 0.0
are, 0.96193, 0.012516, 0.21733, -0.06539, 0.26843, 0.33586, -0.45112, -0.60547, -0.46845, -0.18412, 0.060949, 0.19597, 0.22645, 0.032802, 0.42488, 0.49678, 0.65346, -0.0274, 0.17809, -1.1979, -0.40634, -0.22659, 1.1495, 0.59342, -0.23759, -0.93254, -0.52502, 0.05125, 0.032248, -0.72774, 4.2466, 0.60592, 0.33397, -0.85754, 0.4895, 0.21744, -0.13451, 0.0094912, -0.54173, 0.18857, -0.64506, 0.012695, 0.73452, 1.0032, 0.41874, 0.16596, -0.71085, 0.14032, -0.38468, 0.0
